id,name,category,duration_min,ivf,isf,icf,4CF,hormones,description,protein_g,created_at,updated_at
37,"Blood Donation (1 unit, ~450 mL)",state,,"{""H2O"":-300}","{""H2O"":-150}",{},"{""Blood"":450}","{""ADH"":2,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":2,""Testosterone"":0}","Donating one unit of blood (~450 mL) acutely removes that volume from the intravascular compartment. This roughly 10% loss of blood volume is initially compensated by a shift of interstitial fluid into the vessels, but effective circulating volume still drops. The immediate physiological response is a sharp rise in ADH and activation of the RAAS (aldosterone, etc.) to retain water and restore blood pressure.",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
38,"IV Saline (1 L, 0.9% NaCl)",state,,"{""Na"":38.5,""H2O"":250}","{""Cl"":115.5,""Na"":115.5,""H2O"":750}",{},{},"{""ADH"":-1,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":-2,""Testosterone"":0}","An intravenous infusion of 1 liter of normal saline (0.9% NaCl) adds 1,000 mL of isotonic fluid directly to the extracellular space:contentReference[oaicite:31]{index=31}. It expands intravascular volume (~250 mL) and interstitial volume (~750 mL) without changing osmolarity, so little water enters cells. This volume expansion tends to suppress endogenous ADH and aldosterone levels transiently, as the body senses improved blood volume and sodium status.",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
39,Menstrual/PMS (late luteal phase),state,,"{""H2O"":50}","{""H2O"":150}",{},{},"{""ADH"":0,""Cortisol"":0,""Estrogen"":1,""Aldosterone"":1,""Testosterone"":0}","In the late luteal (premenstrual) phase, high estrogen levels can lead to sodium and fluid retention:contentReference[oaicite:32]{index=32}. Many women experience slight increases in extracellular fluid (bloating, breast swelling) due to estrogen-stimulated aldosterone activity and renal water retention. This hormonal water retention increases intravascular and interstitial volumes slightly, which is usually reversed after menstruation begins.",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
40,Walk (30 min),exercise,30,"{""Na"":-0.8,""H2O"":-30}","{""Na"":-2.5,""H2O"":-120}",{},"{""Sweat"":150}","{""ADH"":1,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":1,""Testosterone"":0}","A 30-minute walk in mild conditions produces light sweating (~0.15 L):contentReference[oaicite:20]{index=20}. This causes a small loss of intravascular and interstitial fluid along with electrolytes (sodium, chloride), triggering mild increases in aldosterone and ADH to conserve body water.",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
41,Run (20 min),exercise,20,"{""Na"":-3.5,""H2O"":-80}","{""Na"":-10.5,""H2O"":-240}","{""H2O"":-80}","{""Sweat"":400}","{""ADH"":1,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":1,""Testosterone"":0}","A 20-minute run can produce moderate sweating (~0.3–0.5 L). This removes water (≈0.4 L) and salt (hundreds of milligrams of sodium):contentReference[oaicite:21]{index=21} from the extracellular compartment, concentrating body fluids. Blood volume drops, stimulating aldosterone and ADH release to conserve water and shift fluid from cells to extracellular space.",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
44,Humantra Electrolyte Sachet,drink,,"{""K+"":30,""H2O"":150,""Na+"":100}","{""H2O"":100,""Na+"":70}","{""K+"":25}",{},"{""ADH"":1,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":1,""Testosterone"":0}",Humantra sachets deliver balanced electrolytes for hydration support with moderate sodium and potassium.,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
45,Pocari Sweat (ion supply drink),drink,,"{""K+"":15,""H2O"":160,""Na+"":110}","{""H2O"":100,""Na+"":75}","{""K+"":10}",{},"{""ADH"":1,""Cortisol"":0,""Estrogen"":0,""Aldosterone"":1,""Testosterone"":0}",Pocari Sweat replenishes electrolytes and water efficiently after exertion or in hot climates.,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
47,"Arabic Coffee (Gahwa, 60 mL)",drink,,"{""Na"":1,""H2O"":0.06}",{},{},{},"{""ADH"":-1,""Cortisol"":1}","Traditional cardamom coffee; small fluid volume, mild diuretic effect from caffeine",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
48,Karak Chai (200 mL),drink,,"{""K"":8,""Na"":15,""H2O"":0.18,""Glucose"":12}",{},{},{},{},"Sweet milk tea popular in the Gulf; provides water, sodium, potassium and carbohydrates",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
49,Laban / Ayran (250 mL),drink,,"{""K"":15,""Ca"":5,""Na"":40,""H2O"":0.25}",{},{},{},{},Salty yoghurt drink; good source of electrolytes and fluid,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
50,Pomegranate Juice (250 mL),drink,,"{""K"":20,""Na"":2,""H2O"":0.2,""Glucose"":30}",{},{},{},{},Fresh juice high in potassium and natural sugars,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
51,Mango Juice (250 mL),drink,,"{""K"":15,""Na"":2,""H2O"":0.2,""Glucose"":35}",{},{},{},{},Sweet mango juice; fluid plus carbohydrate boost,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
52,"Vimto (cordial, 250 mL)",drink,,"{""Na"":5,""H2O"":0.25,""Glucose"":50}",{},{},{},{},"Classic Ramadan beverage; high in sugar, modest sodium",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
53,Sparkling Water (330 mL),drink,,"{""H2O"":0.33}",{},{},{},{},Carbonated plain water; negligible electrolyte content,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
54,Electrolyte Tablet + Water (500 mL),drink,,"{""K"":5,""Mg"":2,""Na"":50,""H2O"":0.5}",{},{},{},{},"Dissolved effervescent electrolyte tablet; balanced sodium, potassium, magnesium",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
55,"Pure Water (bottle, 1 L)",drink,,"{""H2O"":1}",{},{},{},{},One-litre plain water bottle,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
56,"Energy Drink (sugar-free, 250 mL)",drink,,"{""Na"":5,""H2O"":0.24}",{},{},{},"{""ADH"":-1,""Cortisol"":1}","Caffeinated zero-sugar energy drink; slight diuretic, minimal calories",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
57,"Shawarma Wrap (chicken, 1 wrap)",food,,"{""Na"":120,""H2O"":0.1,""Glucose"":25}",{},{},{},{},Salty marinated chicken with flatbread; significant sodium and carbohydrate load,48,2025-05-27 15:07:11.791516+00,2025-05-27 15:12:12.738928+00
58,Hummus with Khubz (½ cup + 1 pita),food,,"{""Na"":80,""H2O"":0.1}",{},"{""K"":120,""Glucose"":10}",{},{},Chickpea dip and bread; good potassium with moderate sodium and fluid,11,2025-05-27 15:07:11.791516+00,2025-05-27 15:12:12.738928+00
59,Lentil Soup 250 mL,food,,"{""Na"":35,""H2O"":0.25}",{},"{""K"":20,""Glucose"":5}",{},{},"Warm, hydrating soup rich in potassium and modest salt",8,2025-05-27 15:07:11.791516+00,2025-05-27 15:12:12.738928+00
60,Machboos Rice & Chicken (350 g),food,,"{""Na"":90,""H2O"":-0.1,""Glucose"":60}",{},{},{},{},Hearty rice dish; high sodium and carbohydrate draws some water into gut lumen,32,2025-05-27 15:07:11.791516+00,2025-05-27 15:12:12.738928+00
61,Grilled Hamour Fish 150 g,food,,"{""Na"":70,""BUN"":3,""H2O"":0.02}",{},{},{},{},Lean local fish; adds protein (BUN) and sodium,13,2025-05-27 15:07:11.791516+00,2025-05-27 15:12:12.738928+00
62,Falafel (6 pcs),food,,"{""Na"":40,""H2O"":0.02}",{},"{""K"":100}",{},{},"Deep-fried chickpea balls; potassium rich, moderate sodium",15.5,2025-05-27 15:07:11.791516+00,2025-05-27 15:12:12.738928+00
63,Fattoush Salad 250 g,food,,"{""Na"":20,""H2O"":0.18}",{},"{""K"":120}",{},{},Hydrating vegetable salad with mixed greens and toasted bread slivers,27,2025-05-27 15:07:11.791516+00,2025-05-27 15:12:12.738928+00
64,Tabbouleh 200 g,food,,"{""Na"":30,""H2O"":0.15}",{},"{""K"":140}",{},{},"Parsley-heavy salad; very high potassium, light sodium",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
65,Dates (3 pcs),food,,{},{},"{""K"":45,""Glucose"":15}",{},{},Traditional quick energy; rich potassium and sugar,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
66,"Mixed Nuts (salted, 30 g)",food,,"{""Na"":80,""H2O"":-0.05}",{},"{""K"":200}",{},{},Electrolyte-dense snack; draws mild water due to osmotic load,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
67,Almonds Salted 40 g,food,,"{""Na"":60,""H2O"":-0.05}",{},"{""K"":250}",{},{},High-potassium crunchy snack with moderate sodium,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
68,Dried Apricots 40 g,food,,{},{},"{""K"":220,""Pi"":20,""Glucose"":12}",{},{},Potassium bomb; also delivers phosphate and sugars,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
69,"Avocado (½, 100 g)",food,,"{""H2O"":0.07}",{},"{""K"":450,""Mg"":25}",{},{},Healthy fat source exceptionally high in potassium,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
70,Kunafa Dessert 120 g,food,,"{""Na"":90,""H2O"":-0.05,""Glucose"":80}",{},{},{},{},"Sweet cheese pastry; significant sugar and sodium, slight water pull",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
71,Greek Yogurt 150 g,food,,"{""Na"":50,""H2O"":0.12}",{},"{""K"":80,""Protein"":6}",{},{},Protein-rich dairy snack; fluid plus electrolytes,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
72,"Protein Shake (whey 30 g, 300 mL)",food,,"{""H2O"":0.3}",{},"{""Pi"":10,""AminoAcids"":30}",{},{},Post-workout shake; adds fluid and amino-acid load,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
73,Creatine Monohydrate 5 g (dissolved),food,,"{""H2O"":0.25}",{},"{""Creatine"":5}",{},{},Osmolyte supplement with accompanying water,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
74,Salt Packet 1 g NaCl,food,,"{""Cl"":17,""Na"":17}",{},{},{},{},Quick sodium top-up; no water included,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
75,Pickles (30 g),food,,"{""Na"":180,""H2O"":0.02}",{},{},{},{},Very salty cucumber pickle; small fluid plus big sodium hit,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
76,French Fries (medium serving),food,,"{""Na"":250,""H2O"":-0.1}",{},{},{},{},"Deep-fried potato sticks; high sodium, draws modest water into gut",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
84,Ramadan Fasting (sunrise–sunset),state,840,"{""H2O"":-0.5}",{},{},{},"{""ADH"":1,""Cortisol"":1,""Aldosterone"":1}",No intake for ~14 h; mild cumulative dehydration signal,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
85,Iftar Feast Over-hydrate (1 h),state,60,"{""Na"":250,""H2O"":1.2,""Glucose"":150}",{},{},{},"{""ADH"":-1}","Large post-fast meal with high water, sodium and sugar",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
86,"Desert Hike (2 h, 45 °C)",state,120,{},"{""Cl"":-120,""Na"":-120,""H2O"":-2}","{""K"":-40}","{""Sweat"":20}","{""ADH"":3,""Cortisol"":2,""Aldosterone"":2}",Hot-sun trek; extreme sweat & electrolyte loss,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
87,Swimming Pool (1 h),state,60,{},"{""Cl"":-15,""Na"":-15,""H2O"":-0.3}",{},"{""Sweat"":3}","{""ADH"":1}",Moderate sweat in cool water; slight fluid loss,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
88,Paddle-boarding (1 h),state,60,{},"{""Cl"":-25,""Na"":-25,""H2O"":-0.5}",{},"{""Sweat"":5}","{""ADH"":1}",Recreational boarding under sun; moderate sweat,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
89,Desert Overnight Camp (8 h),state,480,"{""H2O"":-0.3}",{},{},{},"{""ADH"":1}","Warm, dry night causes extra insensible loss",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
90,Jet-lag Flight (8 h),state,480,"{""H2O"":-0.8}",{},{},{},"{""ADH"":1,""Cortisol"":1}",Cabin air dehydration and hormonal stress,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
91,Suhoor Hydration (pre-dawn 30 min),state,30,"{""Na"":30,""H2O"":0.7}",{},{},{},{},Pre-fast early-morning drink & light meal to top up fluid,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
92,Glycerol Hyper-hydration Shot,supplement,,"{""H2O"":0.5}",{},"{""H2O"":0.3}",{},"{""ADH"":-1}",Glycerol pulls extra water into body fluids and cells,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
93,Oral Bicarbonate 0.3 g/kg,supplement,,"{""Na"":40}",{},{},{},{},Alkaline load plus sodium; used by some athletes pre-event,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
94,Electrolyte Capsule (SaltStick),supplement,,"{""K"":10,""Ca"":2,""Mg"":2,""Na"":40}",{},{},{},{},Compact sodium-potassium-magnesium mix,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
95,Caffeine Tablet 200 mg,supplement,,"{""H2O"":-0.1}",{},{},{},"{""ADH"":-1}",Stimulant dose; slight diuretic via ADH suppression,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
96,Melatonin 5 mg,supplement,,{},{},{},{},"{""Cortisol"":-1}",Sleep-phase aid; small cortisol drop,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
97,Coca-Cola 330 mL,drink,,"{""Na"":15,""H2O"":0.33,""Glucose"":40}",{},{},{},{},"Sugary cola; modest sodium, high glucose load",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
98,Diet Coke 330 mL,drink,,"{""Na"":30,""H2O"":0.33}",{},{},{},"{""ADH"":-1}",Zero-sugar cola with caffeine; slight diuretic effect,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
99,Sprite 330 mL,drink,,"{""Na"":10,""H2O"":0.33,""Glucose"":38}",{},{},{},{},"Lemon-lime soda; high sugar, low sodium",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
100,Fanta Orange 330 mL,drink,,"{""Na"":12,""H2O"":0.33,""Glucose"":42}",{},{},{},{},"Orange soda; very sugary, mild sodium",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
101,Mountain Dew 330 mL,drink,,"{""Na"":25,""H2O"":0.33,""Glucose"":46}",{},{},{},"{""ADH"":-1}",Caffeinated citrus soda; high sugar and sodium,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
102,Pepsi Max 330 mL,drink,,"{""Na"":35,""H2O"":0.33}",{},{},{},"{""ADH"":-1}","Zero-sugar cola; slightly higher sodium, caffeine diuretic",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
103,Red Bull 250 mL,drink,,"{""Na"":20,""H2O"":0.24,""Glucose"":27}",{},{},{},"{""ADH"":-1,""Cortisol"":1}",Energy drink with taurine & sugar; mild diuretic,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
104,Monster Zero Sugar 500 mL,drink,,"{""Na"":30,""H2O"":0.48}",{},{},{},"{""ADH"":-1}","Large zero-sugar energy drink; caffeine, no carbs",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
105,Gatorade Zero 500 mL,drink,,"{""K"":10,""Na"":50,""H2O"":0.5}",{},{},{},{},Electrolyte sports drink without sugar,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
106,Iced Tea (sweet) 500 mL,drink,,"{""Na"":10,""H2O"":0.5,""Glucose"":45}",{},{},{},"{""ADH"":-1}",Bottled sweet tea; sugar plus mild caffeine,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
107,Iced Tea (unsweet) 500 mL,drink,,"{""Na"":10,""H2O"":0.5}",{},{},{},"{""ADH"":-1}",Unsweetened tea; fluid and mild caffeine diuretic,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
108,Vodka Shot 40 mL,alcohol,,"{""H2O"":0.04}",{},{},{},"{""ADH"":-2}",Neat spirit; low volume but strong diuretic via ADH suppression,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
109,Whiskey Neat 40 mL,alcohol,,"{""H2O"":0.04}",{},{},{},"{""ADH"":-2}",Neat whiskey; same diuretic impact as vodka,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
110,Gin & Tonic 220 mL,alcohol,,"{""Na"":15,""H2O"":0.18,""Glucose"":5}",{},{},{},"{""ADH"":-2}","Mixed drink; moderate fluid, sugar, sodium plus spirit diuresis",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
111,Mojito 250 mL,alcohol,,"{""Na"":10,""H2O"":0.2,""Glucose"":20}",{},{},{},"{""ADH"":-2}","Rum, lime, sugar mix; refreshing but diuretic",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
112,Margarita 180 mL,alcohol,,"{""Na"":30,""H2O"":0.12,""Glucose"":25}",{},{},{},"{""ADH"":-2}","Tequila, lime and salted rim; high sodium + sugar",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
113,Beer Lager 500 mL,alcohol,,"{""H2O"":0.47,""Glucose"":18}",{},{},{},"{""ADH"":-2}","Pint of lager; moderate carbs, pronounced diuretic",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
114,Red Wine 150 mL,alcohol,,"{""H2O"":0.12,""Glucose"":5}",{},{},{},"{""ADH"":-1}","Standard glass of wine; mild diuretic, low carb",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
115,Powerade (blue) 500 mL,drink,,"{""K"":5,""Na"":60,""H2O"":0.5,""Glucose"":30}",{},{},{},{},"Sugary sports drink with higher sodium, potassium",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
116,Coconut Water 330 mL (tetra),drink,,"{""K"":18,""Na"":15,""H2O"":0.3,""Glucose"":12}",{},{},{},{},Packaged coconut water; natural electrolytes plus sugars,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
117,Big Mac Burger,food,,"{""Na"":200,""H2O"":0.1,""Glucose"":40}",{},{},{},{},Classic double-patty burger; high sodium and carbs,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
118,Double Cheeseburger,food,,"{""Na"":230,""H2O"":0.08,""Glucose"":35}",{},{},{},{},Two beef patties with cheese; very salty,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
119,Chicken Nuggets (6 pcs),food,,"{""Na"":180,""H2O"":0.05,""Glucose"":15}",{},{},{},{},Breaded fried nuggets; sodium + modest carbs,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
120,Fried Chicken (3 pcs),food,,"{""Na"":220,""BUN"":4,""H2O"":0.08}",{},{},{},{},Three spicy fried chicken pieces; Na⁺ and protein load,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
121,French Fries (large),food,,"{""Na"":350,""H2O"":-0.15}",{},{},{},{},"Supersize fries; very high salt, pulls water into gut lumen",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
122,Pizza Slice (pepperoni),food,,"{""Na"":200,""H2O"":0.06,""Glucose"":30}",{},{},{},{},Single slice of pepperoni pizza,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
123,Pizza Personal 6″ (whole),food,,"{""Na"":400,""H2O"":0.12,""Glucose"":90}",{},{},{},{},Individual pan pizza; heavy sodium & carbs,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
124,Beef Burrito (wrap),food,,"{""Na"":260,""H2O"":0.1,""Glucose"":45}",{},"{""K"":50}",{},{},Flour-tortilla burrito with beef and rice,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
125,Zinger Chicken Burger,food,,"{""Na"":240,""H2O"":0.08,""Glucose"":30}",{},{},{},{},Spicy fried-chicken sandwich; high salt,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
126,Hotdog with Bun,food,,"{""Na"":210,""H2O"":0.07,""Glucose"":20}",{},{},{},{},Processed sausage in bun; sodium dense,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
127,Sausage McMuffin,food,,"{""Na"":250,""H2O"":0.06,""Glucose"":22}",{},{},{},{},Breakfast muffin with sausage patty & cheese,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
128,Glazed Donut,food,,"{""Na"":45,""H2O"":0.03,""Glucose"":50}",{},{},{},{},"Sweet pastry; high sugar, low sodium",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
129,Chocolate Muffin,food,,"{""Na"":60,""H2O"":0.04,""Glucose"":55}",{},{},{},{},Large cafe-style muffin; sugar load,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
130,Milkshake Vanilla 400 mL,food,,"{""Na"":100,""H2O"":0.3,""Glucose"":60}",{},{},{},{},"Dairy shake; significant fluid, sugar and sodium",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
131,Soft Serve Cone,food,,"{""Na"":40,""H2O"":0.05,""Glucose"":20}",{},{},{},{},Quick frozen dessert; small fluid and sugar,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
132,Nachos with Cheese,food,,"{""Na"":300,""H2O"":0.05,""Glucose"":35}",{},{},{},{},"Corn chips and cheese sauce; salty, moderate carbs",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
133,Taco Beef (hard shell),food,,"{""Na"":170,""H2O"":0.05,""Glucose"":10}",{},{},{},{},"Single crunchy taco with beef, cheese",0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
134,Instant Ramen Cup,food,,"{""Na"":500,""H2O"":0.4,""Glucose"":35}",{},{},{},{},Prepared noodle soup; huge sodium load with fluid,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
135,Instant Noodle Bowl,food,,"{""Na"":620,""H2O"":0.55,""Glucose"":40}",{},{},{},{},Large instant noodle serving; very high salt plus water,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
136,Popcorn Large (cinema),food,,"{""Na"":320,""H2O"":-0.08}",{},{},{},{},Butter-salt popcorn; dehydrating salt hit,0,2025-05-27 15:07:11.791516+00,2025-05-27 15:07:11.791516+00
137,Moderate intensity,excercise,60,{},{},{},"{""Na"":-420,""H2O"":-600}",,"The intensity of the excercise will be compared to your normal rates of activity ",0,2025-05-29 21:00:59.362772+00,2025-05-29 21:15:25.439663+00
138,High Intensity,excercise,,{},{},{},"{""Na"":-800,""H2O"":-1200}",,,0,2025-05-29 21:05:05.244822+00,2025-05-29 21:15:13.363906+00